Title,Date,Work
Let It Go,2021/11/12,PTB
グッバイ宣言,2021/11/17,ニジイロ
Baby Shark（ベイビー・シャーク）,2021/11/17,ニジイロ
グッバイ宣言,2021/11/17,ニジイロ
ウサテイ,2021/11/18,ニジイロ
大好きな太鼓の音,2021/11/18,ニジイロ
燃えよサファイア,2021/11/20,ニジイロ
シル・ヴ・プレジデント,2021/12/01,iOS/AR
ハルジオン,2021/12/02,NS1
踊,2021/12/02,NS1
明け星,2021/12/15,ニジイロ
明け星,2021/12/15,ニジイロ
明け星,2021/12/15,ニジイロ
ex寅 Trap!!,2022/01/01,ニジイロ
めためた☆ゆにば～すっ！,2022/03/17,ニジイロ
神っぽいな,2022/06/01,ニジイロ
プラスティック・ラブ,2022/06/22,PTB
ミックスナッツ,2022/07/27,ニジイロ
CITRUS,2022/07/27,ニジイロ
1・2・3(サトシ＆ゴウ),2022/07/27,ニジイロ
ミックスナッツ,2022/07/27,ニジイロ
1・2・3(サトシ＆ゴウ),2022/07/27,ニジイロ
新時代,2022/08/06,ニジイロ
新時代,2022/08/06,ニジイロ
新時代,2022/08/06,ニジイロ
まいにちがドンダフル,2022/08/18,NS2
Feel Special,2022/09/22,NS2
I LOVE...,2022/09/22,NS2
ヴィラン,2022/09/22,NS2
ゼルダの伝説 メインテーマ,2022/09/22,NS2
星のカービィ スターアライズ メドレー,2022/09/22,NS2
Life Will Change,2022/09/22,NS2
ESCAPE FROM CRISIS,2022/09/22,NS2
河童の皿はこんなにも,2022/09/22,NS2
夢うつつカタルシス,2022/09/22,NS2
風魔モジュール6768,2022/09/22,NS2
雲の彼方の大地の風,2022/09/22,NS2
残響散歌,2022/10/13,NS2
We are PAC-MAN!,2022/10/13,NS2
リトルホワイトウィッチ,2022/10/13,NS2
フォニイ,2022/11/10,NS2
真夜中のドア～Stay with me,2022/11/10,NS2
女神な世界 III,2022/11/10,NS2
六本の薔薇と采の歌,2022/11/17,ニジイロ
Timing ～タイミング～,2022/12/01,iOS/AR
Habit,2022/12/08,NS2
音虫を響かせろ！,2022/12/08,NS2
喝采,2022/12/15,NS2
Trust・Last,2022/12/21,ニジイロ
ほめのび,2022/12/22,ニジイロ
Smile ＆ Go!!,2022/12/22,ニジイロ
THE FIXER,2023/01/12,NS2
ねねねねねねねね!大爆走,2023/01/19,ニジイロ
Ahoy!! 我ら宝鐘海賊団☆,2023/01/19,ニジイロ
わたしの一番かわいいところ,2023/02/09,NS2
祝福,2023/02/09,NS2
いろはすてっぷ！,2023/02/16,ニジイロ
オーバード,2023/02/16,ニジイロ
Starry Heavens ver.2013,2023/02/16,NS2
アキバ20XX,2023/03/01,ニジイロ
"IAM (feat. Shogo, Tsubasa)",2023/03/08,ニジイロ
爆裂タウマゼイン (Prod. チバニャン),2023/03/08,ニジイロ
ダンスホール,2023/03/09,NS2
テクノヴェルクメドレー,2023/03/09,NS2
Crush (Prod. SHOW),2023/03/15,ニジイロ
good night baby (feat. Moe Shop),2023/03/15,ニジイロ
スキに理由はいらないじゃん！,2023/03/24,ニジイロ
W／X／Y,2023/04/13,NS2
RUN PAC-MAN RUN!,2023/04/13,NS2
鬼走曲第24番,2023/04/13,NS2
罪と罰 祈らざる者よ,2023/05/10,NS2
Subtitle,2023/05/11,NS2
第ゼロ感,2023/05/11,NS2
STONE OCEAN,2023/05/11,NS2
酔いどれ知らず,2023/05/11,NS2
